wavelength1	intensity1	wavelength2	intensity2
321.5724487	-0.00010317587300000004	321.5973206	-0.0017496859649999996
321.6797485	-0.0013234519869999998	321.7050476	-0.000847100862
321.7870483	0.00019422825400000013	321.8128052	-0.0011811722100000012
321.8943481	-0.0006554722699999987	321.9205627	-0.0007079336799999981
322.0016785	0.0010241656560000005	322.0283203	0.00018471200000000007
322.1089783	-0.0012307745633	322.1360779	0.0005293251019999998
322.2163086	0.001290732375611	322.2438354	-0.00033866242000000005
322.3236389	-6.894348099999951e-05	322.3516235	0.000434115530000001
322.4309692	-0.0001603830609999998	322.4594116	-0.0007164147679999998
322.5383301	0.0002540464050000001	322.5671997	-0.0015636799508
322.6456909	-0.0005720669290999999	322.6750183	-0.0006339568700000006
322.7530518	-0.00010362919400000014	322.7828064	2.8891490000002018e-05
322.8604126	0.003338911105	322.890625	-0.0005046222359999996
322.9677734	0.000614908524	322.9984436	0.0013538879579000002
323.0751648	0.0027857702200000008	323.1062622	-0.0013478416999999979
323.1825256	-0.000970789464	323.2141113	-0.0008412180399999993
323.289917	-0.000946515473	323.3219299	-0.0008656992570000002
323.3973389	-0.00019414955799999974	323.4297791	-0.0021554320120000005
323.5047302	0.0015887860210000004	323.5376282	-0.0005668224759999996
323.6121521	0.0014415486946	323.6455078	-0.0025198068500000004
323.719574	-0.0017617633559999998	323.7533569	-0.0009794710200000003
323.8269958	-0.0004225252778	323.8612366	-0.00029979227100000033
323.9344177	-0.0009345961740000004	323.9691162	0.005364423619999999
324.0418701	-0.0002183378670000003	324.0769958	-0.0016828486700000006
324.149292	0.0015727975115	324.1848755	-0.00240980601
324.2567444	0.0009906931085	324.2927856	-0.0025143267129999996
324.3641968	0.0013642713889999995	324.4006958	-0.0013934019960000002
324.4716797	-0.0011632535600000007	324.508606	-0.0014648418800000014
324.5791321	0.0005184804322000001	324.6165161	-0.0020336778809999997
324.686615	-0.001170441508	324.7244263	-0.001982366666
324.7940979	-0.0002552671349999999	324.8323669	-0.00016046037000000055
324.9016113	0.0008522616699999999	324.9403076	-0.0001748111099999991
325.0090942	-0.0020370380950000006	325.0482483	-0.0023343812788
325.1166077	0.00010620837600000001	325.156189	-0.0020680874599999996
325.2241211	-0.000614756252	325.2641602	-0.0020238570899999975
325.3316345	-0.0005598664289999996	325.3721313	0.00031792372999999916
325.4391479	0.0012166908712	325.4801025	-0.0015598372560000004
325.5466919	-0.0017244666810000003	325.5880737	0.0010755425320000001
325.6542358	0.0003289335869999998	325.6960449	-0.000891830770000001
325.7617798	6.407033700000023e-05	325.8040466	0.002657272969
325.8693237	-0.00042093184300000014	325.9120483	9.923987100000052e-05
325.9768677	0.0013271954379999997	326.02005	-0.0010182098490000005
326.0844421	-0.00016124127499999967	326.1280518	-0.0010276632379999998
326.1920166	0.0006468244830000001	326.2360535	-0.0011163251400000008
326.2995911	0.0012390282929999998	326.3440857	-0.0014916353389999998
326.4071655	0.0012339418755	326.4521179	-0.0015270052827
326.5147705	0.001227825878000001	326.5601501	2.1775249999999788e-05
326.622345	-0.001050347469999999	326.6681824	-0.0033689336799999983
326.72995	-0.0012481971640000001	326.7762451	0.0009312873448000001
326.8375549	0.0006332014449999999	326.8843079	0.000750048784
326.9451904	-8.699111600000021e-05	326.9923706	-0.0011526923600000006
327.0527954	0.0002526980820000005	327.1004333	0.0014121853750000005
327.1604309	-6.845314099999944e-05	327.2084961	-0.001014853013
327.2680664	0.0006296592759999996	327.3165894	-0.0003734144850000001
327.3757324	0.0010430957190000001	327.4246826	-0.001098983922999999
327.4833679	-0.0002535509410000001	327.5327759	-0.0010434985139999992
327.5910339	-0.00106178800344	327.6408691	-0.0017291546388
327.6987	-0.001229217742	327.7489624	0.0019365190530000005
327.806366	0.00016004475799999982	327.8570862	-0.0013768905769999994
327.914032	-0.0003528594979999994	327.96521	-0.00039481371000000057
328.0217285	-0.000253575389	328.0733337	-0.0012682427189999999
328.1293945	0.0005023691339999998	328.1814575	-0.0026281937029
328.2370911	-0.00032842595819999995	328.2896118	-0.0023275492699999997
328.3447876	0.0009084399789999996	328.3977661	0.0018062833700000017
328.4525146	0.002459844109	328.5059204	0.0008172066879999999
328.5602112	0.0022696842788	328.6140747	0.0002898486560000001
328.6679382	-0.001986278104	328.722229	-0.0031308690099999988
328.7756653	0.0018132026309999995	328.8304138	-0.00033818743999999845
328.8834229	0.0002530287020000004	328.9385986	-0.0020922366530000003
328.9911499	0.0008380503860000001	329.0467834	-0.0017657700227
329.0989075	0.004957040302	329.1549683	0.00099185016
329.206665	-0.0007641999980000005	329.2631531	-0.0030964482600000006
329.3144226	0.0009911711089999999	329.3713684	0.0002715232549999999
329.4221802	0.00014333322179999996	329.4795837	-0.00113830436
329.5299683	0.00032677641099999963	329.5877991	-0.0019208304600000017
