Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.214651794e+02	4.673600662e-03	3.214895935e+02	1.209822949e-02
3.215724487e+02	1.794160809e-03	3.215973206e+02	-4.727973137e-03
3.216797485e+02	-4.058818333e-03	3.217050476e+02	1.547447988e-03
3.217870483e+02	7.797698956e-03	3.218128052e+02	2.373161167e-02
3.218943481e+02	1.126055513e-02	3.219205627e+02	1.826355606e-02
3.220016785e+02	5.765153095e-03	3.220283203e+02	9.162359871e-03
3.221089783e+02	-1.781614264e-03	3.221360779e+02	3.290620400e-03
3.222163086e+02	1.286024344e-03	3.222438354e+02	2.217193134e-02
3.223236389e+02	7.063724101e-03	3.223516235e+02	2.620875277e-02
3.224309692e+02	2.885713242e-03	3.224594116e+02	5.143888295e-03
3.225383301e+02	2.697514603e-03	3.225671997e+02	-6.544542848e-04
3.226456909e+02	-1.141738729e-03	3.226750183e+02	1.923606172e-02
3.227530518e+02	2.490496030e-03	3.227828064e+02	2.341967635e-02
3.228604126e+02	8.230555803e-03	3.228906250e+02	-7.627144456e-03
3.229677734e+02	-1.988632837e-03	3.229984436e+02	2.336462960e-03
3.230751648e+02	1.899552159e-02	3.231062622e+02	2.119942568e-02
3.231825256e+02	3.845526604e-03	3.232141113e+02	1.064864360e-02
3.232899170e+02	-4.510495346e-03	3.233219299e+02	1.143765869e-03
3.233973389e+02	-3.099004971e-03	3.234297791e+02	-8.324413560e-03
3.235047302e+02	6.292109378e-03	3.235376282e+02	9.621089324e-03
3.236121521e+02	1.041366020e-03	3.236455078e+02	2.371326275e-02
3.237195740e+02	3.883166239e-03	3.237533569e+02	-4.654576536e-03
3.238269958e+02	5.708693643e-04	3.238612366e+02	-2.801308874e-03
3.239344177e+02	6.103910971e-03	3.239691162e+02	2.244716883e-02
3.240418701e+02	5.125277676e-03	3.240769958e+02	1.356616430e-02
3.241492920e+02	1.925899880e-03	3.241848755e+02	-4.691274837e-03
3.242567444e+02	-6.712420145e-04	3.242927856e+02	3.822746919e-03
3.243641968e+02	4.033725243e-03	3.244006958e+02	7.455885410e-03
3.244716797e+02	1.020664256e-02	3.245086060e+02	1.041010395e-02
3.245791321e+02	1.493042917e-03	3.246165161e+02	9.822930209e-03
3.246866150e+02	-7.672233041e-03	3.247244263e+02	4.097984638e-03
3.247940979e+02	3.996085376e-03	3.248323669e+02	1.417168695e-02
3.249016113e+02	9.472667240e-03	3.249403076e+02	2.033701353e-02
3.250090942e+02	-7.182916626e-03	3.250482483e+02	-1.480167615e-03
3.251166077e+02	-1.631055260e-03	3.251561890e+02	1.332762465e-02
3.252241211e+02	6.574407686e-03	3.252641602e+02	2.501605637e-02
3.253316345e+02	9.039809927e-03	3.253721313e+02	1.666717604e-02
3.254391479e+02	-6.900618318e-04	3.254801025e+02	5.290681496e-03
3.255466919e+02	4.447762389e-03	3.255880737e+02	-2.746261423e-03
3.256542358e+02	3.375029890e-03	3.256960449e+02	1.745619066e-02
3.257617798e+02	5.238196813e-03	3.258040466e+02	4.556714091e-03
3.258693237e+02	-1.875713584e-03	3.259120483e+02	-9.590507485e-03
3.259768677e+02	3.130371450e-03	3.260200500e+02	-7.847335190e-03
3.260844421e+02	4.203103948e-03	3.261280518e+02	5.896204617e-03
3.261920166e+02	6.837885827e-03	3.262360535e+02	1.057524700e-02
3.262995911e+02	-6.072544493e-03	3.263440857e+02	-2.672864590e-03
3.264071655e+02	1.737701241e-03	3.264521179e+02	-6.544542848e-04
3.265147705e+02	1.112881582e-02	3.265601501e+02	1.241016574e-02
3.266223450e+02	1.033838093e-02	3.266681824e+02	1.503409911e-02
3.267299500e+02	-3.945899196e-03	3.267762451e+02	1.033670735e-03
3.268375549e+02	-1.160558546e-03	3.268843079e+02	4.336523823e-03
3.269451904e+02	5.859252531e-03	3.269923706e+02	1.105232537e-02
3.270527954e+02	4.767700098e-03	3.271004333e+02	7.419187110e-03
3.271604309e+02	6.310929544e-03	3.272084961e+02	-2.654515440e-03
3.272680664e+02	4.278383683e-03	3.273165894e+02	-3.223340260e-03
3.273757324e+02	5.614594091e-03	3.274246826e+02	9.033915587e-03
3.274833679e+02	1.361303846e-03	3.275327759e+02	9.767882526e-03
3.275910339e+02	-1.009999658e-03	3.276408691e+02	-1.333374064e-03
3.276987000e+02	-4.171737470e-03	3.277489624e+02	-4.104101099e-03
3.278063660e+02	2.452856163e-03	3.278570862e+02	4.630111158e-03
3.279140320e+02	9.265649132e-03	3.279652100e+02	2.041040920e-02
3.280217285e+02	1.398943597e-03	3.280733337e+02	2.501605544e-03
3.281293945e+02	-2.684968058e-03	3.281814575e+02	-2.122389153e-03
3.282370911e+02	6.649686839e-04	3.282896118e+02	9.088963270e-03
3.283447876e+02	9.961984120e-03	3.283977661e+02	2.136456780e-02
3.284525146e+02	-1.047639409e-03	3.285059204e+02	-5.241750740e-03
3.285602112e+02	1.775340992e-03	3.286140747e+02	1.602495438e-03
3.286679382e+02	1.624781988e-03	3.287222290e+02	1.453867089e-02
3.287756653e+02	8.701052517e-03	3.288304138e+02	2.290589921e-02
3.288834229e+02	4.259563517e-03	3.289385986e+02	4.336523823e-03
3.289911499e+02	2.377576660e-03	3.290467834e+02	-1.241628197e-03
3.290989075e+02	1.043248083e-02	3.291549683e+02	9.621089324e-03
3.292066650e+02	4.711240530e-03	3.292631531e+02	1.105232537e-02
3.293144226e+02	-1.405216870e-03	3.293713684e+02	1.620844705e-03
3.294221802e+02	-8.029810851e-04	3.294795837e+02	4.942046944e-03
3.295299683e+02	6.687326822e-03	3.295877991e+02	1.419003680e-02
3.296377258e+02	8.494034410e-03	3.296960144e+02	9.804581292e-03
3.297455139e+02	-1.706334762e-03	3.298042603e+02	2.978684381e-03
3.298533325e+02	4.391302718e-05	3.299124756e+02	-4.874766804e-03
3.299611206e+02	1.856266335e-02	3.300207214e+02	5.162237212e-03
3.300689392e+02	5.953351967e-03	3.301289673e+02	5.364078563e-03
3.301767273e+02	8.155276068e-03	3.302372437e+02	-1.021437929e-03
3.302845459e+02	1.756521087e-04	3.303454895e+02	3.822746919e-03
3.303923950e+02	3.431489458e-03	3.304537659e+02	9.822930209e-03
3.305002136e+02	4.711240530e-03	3.305620422e+02	2.868589247e-03
3.306080627e+02	1.549502485e-03	3.306703186e+02	8.685280918e-04
3.307159119e+02	1.925899880e-03	3.307786255e+02	1.107067452e-03
3.308237610e+02	5.802792963e-03	3.308869019e+02	9.914676659e-03
3.309316101e+02	1.142993383e-02	3.309952087e+02	9.107312188e-03
3.310394897e+02	4.523041658e-03	3.311035156e+02	9.694485925e-03
3.311473694e+02	2.114098519e-03	3.312118530e+02	-1.865500468e-03
3.312552185e+02	5.915712100e-03	3.313201599e+02	1.466711517e-02
3.313631287e+02	6.950804964e-03	3.314284973e+02	1.518089231e-02
3.314710083e+02	-1.894533401e-03	3.315368347e+02	5.327380262e-03
3.315789185e+02	4.880619235e-03	3.316451721e+02	-4.544481635e-03
3.316868286e+02	2.772794105e-03	3.317535095e+02	2.248386852e-02
3.317947388e+02	6.762606092e-03	3.318618774e+02	8.006361313e-03
3.319026489e+02	7.910618559e-03	3.319702148e+02	-2.948102308e-03
3.320105591e+02	-3.174284473e-03	3.320785828e+02	7.969662547e-03
3.321184998e+02	4.485402256e-03	3.321869507e+02	6.593473721e-03
3.322264404e+02	8.908071555e-03	3.322953491e+02	1.031835843e-02
3.323343811e+02	3.168011317e-03	3.324037170e+02	1.380470395e-02
3.324423218e+02	4.203103890e-04	3.325121155e+02	1.090553217e-02
3.325502930e+02	6.950804964e-03	3.326205139e+02	3.696137667e-02
3.326582642e+02	8.399934508e-03	3.327289124e+02	2.283250168e-02
3.327662048e+02	4.635960795e-03	3.328373413e+02	-2.727912273e-03
3.328742065e+02	-2.703787759e-03	3.329457703e+02	-4.104101099e-03
3.329821777e+02	5.783972796e-03	3.330541687e+02	5.162237212e-03
3.330901794e+02	2.904533176e-03	3.331625977e+02	2.890608273e-02
3.331981506e+02	4.221924115e-03	3.332710571e+02	5.712713115e-03
3.333061523e+02	-5.771426368e-04	3.333794861e+02	9.602740174e-04
3.334141846e+02	6.837885827e-03	3.334879456e+02	1.253861003e-02
3.335221863e+02	4.259563517e-03	3.335964050e+02	7.419187110e-03
3.336302185e+02	5.332296132e-04	3.337048645e+02	5.804458633e-03
3.337382507e+02	3.883166239e-03	3.338133240e+02	1.431848109e-02
3.338462830e+02	8.136456832e-03	3.339218140e+02	1.103397645e-02
3.339543152e+02	1.080887765e-02	3.340303040e+02	1.938285492e-02
3.340623779e+02	-4.529315047e-03	3.341387939e+02	-1.406770898e-03
3.341704102e+02	1.820508577e-02	3.342472839e+02	9.767882526e-03
3.342784729e+02	8.117636666e-03	3.343557739e+02	1.272210153e-03
3.343865356e+02	4.560681526e-03	3.344642944e+02	1.461206749e-02
3.344946289e+02	3.958445508e-03	3.345728149e+02	4.208079539e-03
3.346026917e+02	2.829253674e-03	3.346813354e+02	-1.883849618e-03
3.347107849e+02	3.487949027e-03	3.347898560e+02	5.786109716e-03
3.348188782e+02	6.254469510e-03	3.348983765e+02	1.248356234e-02
3.349269714e+02	-1.631055347e-04	3.350069275e+02	-3.425181203e-04
3.350350952e+02	8.512853645e-03	3.351154785e+02	1.018991414e-02
3.351431885e+02	8.588133380e-03	3.352240295e+02	2.562157810e-02
3.352513123e+02	1.022546180e-02	3.353325806e+02	1.505244803e-02
3.353594360e+02	-3.193104407e-03	3.354411621e+02	-6.544542848e-04
3.354675598e+02	3.694967600e-03	3.355497131e+02	-4.177497700e-03
