Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.296377258e+02	2.111102454e-03	3.296960144e+02	4.154297523e-03
3.297455139e+02	4.718391225e-03	3.298042603e+02	3.274035407e-03
3.298533325e+02	2.064873988e-04	3.299124756e+02	5.613915273e-04
3.299611206e+02	1.368672494e-02	3.300207214e+02	6.723225117e-03
3.300689392e+02	5.716927350e-03	3.301289673e+02	4.895334132e-04
3.301767273e+02	8.712535724e-03	3.302372437e+02	5.411814433e-03
3.302845459e+02	1.396409608e-02	3.303454895e+02	-1.827890868e-03
3.303923950e+02	2.591879107e-03	3.304537659e+02	2.537489636e-03
3.305002136e+02	-5.331689608e-04	3.305620422e+02	2.483596094e-03
3.306080627e+02	1.254025754e-02	3.306703186e+02	5.160310771e-03
3.307159119e+02	5.883350037e-03	3.307786255e+02	5.196239799e-03
3.308237610e+02	7.066800259e-03	3.308869019e+02	2.245566066e-05
3.309316101e+02	7.177748717e-03	3.309952087e+02	4.046509974e-03
3.310394897e+02	6.918868981e-03	3.311035156e+02	2.645276953e-03
3.311473694e+02	5.578241544e-04	3.312118530e+02	3.098881280e-04
3.312552185e+02	9.248786606e-03	3.313201599e+02	3.615361406e-03
3.313631287e+02	1.205023495e-03	3.314284973e+02	1.204072591e-02
3.314710083e+02	4.098929057e-04	3.315368347e+02	5.591459572e-03
3.315789185e+02	7.510594092e-03	3.316451721e+02	3.004567465e-03
3.316868286e+02	5.162185058e-03	3.317535095e+02	1.484319195e-02
3.317947388e+02	7.991370745e-03	3.318618774e+02	2.986602951e-03
3.319026489e+02	7.362662815e-03	3.319702148e+02	2.739590709e-04
3.320105591e+02	2.684336156e-03	3.320785828e+02	9.831088595e-03
3.321184998e+02	1.161568705e-02	3.321869507e+02	8.645429276e-03
3.322264404e+02	6.179212593e-03	3.322953491e+02	4.082439002e-03
3.323343811e+02	6.049772725e-03	3.324037170e+02	9.543656372e-03
3.324423218e+02	2.795284614e-03	3.325121155e+02	1.094488893e-02
3.325502930e+02	1.045072824e-02	3.326205139e+02	6.040573120e-03
3.326582642e+02	4.681408405e-03	3.327289124e+02	1.608274505e-02
3.327662048e+02	5.217659287e-03	3.328373413e+02	4.818984773e-03
3.328742065e+02	1.963171177e-03	3.329457703e+02	3.148283809e-03
3.329821777e+02	4.015717655e-03	3.330541687e+02	3.058461007e-03
3.330901794e+02	1.279913727e-02	3.331625977e+02	5.699246656e-03
3.331981506e+02	9.276523488e-04	3.332710571e+02	7.675345056e-03
3.333061523e+02	6.493566558e-03	3.333794861e+02	3.309964435e-03
3.334141846e+02	7.177748717e-03	3.334879456e+02	1.182515081e-02
3.335221863e+02	6.715463474e-03	3.335964050e+02	4.585445859e-03
3.336302185e+02	-5.331689608e-04	3.337048645e+02	-7.140900125e-04
3.337382507e+02	7.140765898e-03	3.338133240e+02	8.232245222e-03
3.338462830e+02	7.251714356e-03	3.339218140e+02	7.729238831e-03
3.339543152e+02	8.324216120e-03	3.340303040e+02	1.356771030e-02
3.340623779e+02	1.537868869e-03	3.341387939e+02	3.507574322e-03
3.341704102e+02	8.952924050e-03	3.342472839e+02	6.974728312e-03
3.342784729e+02	2.887741663e-03	3.343557739e+02	3.741113236e-03
3.343865356e+02	9.276523488e-04	3.344642944e+02	6.094466429e-03
3.344946289e+02	-1.901533222e-03	3.345728149e+02	8.034635335e-03
3.346026917e+02	3.590415232e-03	3.346813354e+02	6.579508539e-03
3.347107849e+02	-1.291316701e-03	3.347898560e+02	-8.218772127e-04
