Wellenlänge 1	Intensität 1	Wellenlänge 2	Intensität 2
3.295299683e+02	5.336971488e-03	3.295877991e+02	1.682893746e-02
3.296377258e+02	1.456831582e-02	3.296960144e+02	8.295432664e-03
3.297455139e+02	-3.510534065e-03	3.298042603e+02	7.033957634e-03
3.298533325e+02	9.117792360e-03	3.299124756e+02	-1.055248268e-02
3.299611206e+02	4.201285541e-02	3.300207214e+02	1.468628529e-03
3.300689392e+02	3.072316991e-03	3.301289673e+02	2.655898686e-03
3.301767273e+02	2.245622315e-02	3.302372437e+02	5.253052339e-03
3.302845459e+02	-5.640844349e-03	3.303454895e+02	9.482702240e-03
3.303923950e+02	3.379388712e-03	3.304537659e+02	1.280334871e-02
3.305002136e+02	5.336971488e-03	3.305620422e+02	3.917373251e-03
3.306080627e+02	4.377372097e-03	3.306703186e+02	3.101125127e-03
3.307159119e+02	1.652110135e-03	3.307786255e+02	1.227464294e-03
3.308237610e+02	-1.327445643e-04	3.308869019e+02	1.118940394e-02
3.309316101e+02	2.184207924e-02	3.309952087e+02	8.165574633e-03
3.310394897e+02	1.092183869e-02	3.311035156e+02	1.764518581e-02
3.311473694e+02	8.446073160e-03	3.312118530e+02	-3.354656743e-03
3.312552185e+02	6.949097849e-03	3.313201599e+02	2.053915709e-02
3.313631287e+02	1.786453999e-03	3.314284973e+02	1.608689316e-02
3.314710083e+02	-3.678464054e-05	3.315368347e+02	8.722107857e-03
3.315789185e+02	7.486473769e-03	3.316451721e+02	-3.447412280e-03
3.316868286e+02	-7.252971176e-03	3.317535095e+02	3.016717546e-02
3.317947388e+02	6.968290079e-03	3.318618774e+02	5.308705848e-03
3.319026489e+02	6.354146637e-03	3.319702148e+02	-4.931500182e-03
3.320105591e+02	-1.936791232e-03	3.320785828e+02	1.794200391e-02
3.321184998e+02	1.844029990e-03	3.321869507e+02	8.276881650e-03
3.322264404e+02	1.328245364e-02	3.322953491e+02	9.853724390e-03
3.323343811e+02	1.573902741e-02	3.324037170e+02	2.335892431e-02
3.324423218e+02	4.358179867e-03	3.325121155e+02	1.591993310e-02
3.325502930e+02	1.345038298e-03	3.326205139e+02	6.276145577e-02
3.326582642e+02	7.141017821e-03	3.327289124e+02	3.179967403e-02
3.327662048e+02	1.021173596e-02	3.328373413e+02	-4.857295658e-03
3.328742065e+02	-1.241561491e-02	3.329457703e+02	-8.122288622e-03
3.329821777e+02	3.436964704e-03	3.330541687e+02	5.698278546e-03
3.330901794e+02	-2.128710970e-03	3.331625977e+02	5.229863524e-02
3.331981506e+02	9.232943878e-03	3.332710571e+02	1.183869224e-02
3.333061523e+02	-1.103379205e-02	3.333794861e+02	2.507490106e-03
3.334141846e+02	8.849104866e-03	3.334879456e+02	1.258073561e-02
3.335221863e+02	-1.130727818e-03	3.335964050e+02	6.514526904e-03
3.336302185e+02	-1.495375531e-03	3.337048645e+02	1.480686758e-02
3.337382507e+02	-8.428480360e-04	3.338133240e+02	2.617868967e-02
3.338462830e+02	1.216931827e-02	3.339218140e+02	1.126360800e-02
3.339543152e+02	2.259056643e-02	3.340303040e+02	2.721755207e-02
3.340623779e+02	-8.059034124e-03	3.341387939e+02	-2.380724181e-04
3.341704102e+02	4.848055542e-02	3.342472839e+02	1.916637644e-02
3.342784729e+02	8.542032912e-03	3.343557739e+02	-3.651474370e-03
3.343865356e+02	4.972323775e-03	3.344642944e+02	1.545615587e-02
3.344946289e+02	1.644913107e-02	3.345728149e+02	1.118940394e-02
3.346026917e+02	2.861205256e-03	3.346813354e+02	-3.836985212e-03
3.347107849e+02	-2.128710970e-03	3.347898560e+02	3.843168961e-03
3.348188782e+02	6.085458677e-03	3.348983765e+02	1.374945510e-02
3.349269714e+02	3.245044965e-03	3.350069275e+02	-1.202729531e-03
3.350350952e+02	2.199561521e-02	3.351154785e+02	2.001972683e-02
3.351431885e+02	7.505665533e-03	3.352240295e+02	4.040738195e-02
3.352513123e+02	2.272490971e-02	3.353325806e+02	1.460280549e-02
3.353594360e+02	-8.961058222e-03	3.354411621e+02	-1.036697160e-02
3.354675598e+02	1.005819999e-02	3.355497131e+02	-4.690335598e-03
3.355757141e+02	-8.538833819e-03	3.356582947e+02	-1.499547041e-03
3.356838379e+02	1.562387589e-02	3.357668762e+02	8.007890428e-04
3.357919922e+02	-6.638827734e-03	3.358754883e+02	1.430598833e-02
3.359001465e+02	1.072991919e-02	3.359840698e+02	3.484205157e-02
3.360083313e+02	1.122891065e-02	3.360926819e+02	3.474929556e-02
3.361164856e+02	4.622069828e-04	3.362012939e+02	2.677232586e-02
3.362246704e+02	-2.320630942e-03	3.363099060e+02	-4.606855800e-04
3.363328552e+02	2.227869583e-03	3.364185181e+02	5.104643758e-03
3.364410400e+02	9.036226547e-04	3.365271606e+02	1.289610472e-02
3.365492249e+02	-6.274180021e-03	3.366358032e+02	7.330775261e-03
3.366574402e+02	-5.506500602e-03	3.367444458e+02	5.086092744e-03
3.367656555e+02	9.252136573e-03	3.368530884e+02	-4.606855800e-04
3.368738708e+02	9.405672550e-03	3.369617310e+02	4.585213028e-03
3.369820862e+02	-3.395382082e-03	3.370704041e+02	1.393496618e-02
3.370903015e+02	1.167512455e-04	3.371790771e+02	9.297192097e-03
3.371985474e+02	3.686460434e-03	3.372877502e+02	7.553388365e-03
3.373067932e+02	3.129892983e-03	3.373964233e+02	9.037476033e-03
3.374150391e+02	2.479764447e-02	3.375050964e+02	8.592249826e-03
3.375232849e+02	5.581668811e-04	3.376138000e+02	-9.995949455e-03
3.376315613e+02	-4.590083263e-04	3.377225037e+02	3.694760147e-03
3.377398071e+02	3.072316991e-03	3.378312073e+02	1.452860143e-02
3.378480835e+02	-5.276196636e-03	3.379399109e+02	1.482541859e-02
3.379563599e+02	1.715923473e-02	3.380486450e+02	1.992697082e-02
3.380646667e+02	-3.625685815e-03	3.381573486e+02	-1.499547041e-03
3.381729431e+02	3.859188408e-03	3.382660828e+02	2.951788716e-02
3.382812500e+02	3.341004718e-03	3.383748169e+02	3.026920836e-03
3.383895569e+02	-9.479241446e-03	3.384835815e+02	4.492457490e-03
3.384978638e+02	1.813802496e-02	3.385923157e+02	1.227464294e-03
3.386061707e+02	2.262894996e-02	3.387010803e+02	1.443584543e-02
3.387145081e+02	3.439363837e-02	3.388098450e+02	1.656922139e-02
3.388228455e+02	2.093525836e-03	3.389186096e+02	-8.641719818e-03
3.389311829e+02	1.126729511e-02	3.390274048e+02	2.785756486e-03
3.390395203e+02	2.074813470e-02	3.391361694e+02	2.306210622e-02
3.391478577e+02	-1.879215240e-03	3.392449646e+02	1.118940394e-02
3.392562256e+02	3.379868716e-02	3.393537598e+02	6.143505219e-03
3.393645935e+02	-1.151359174e-02	3.394625549e+02	-5.283970851e-03
3.394729614e+02	2.404915728e-02	3.395713501e+02	1.903651841e-02
3.395813293e+02	1.953903958e-02	3.396801758e+02	2.803380042e-02
3.396896973e+02	3.149084980e-03	3.397890015e+02	1.523354277e-02
3.397980957e+02	-8.428480360e-04	3.398978271e+02	2.141384035e-01
3.399064941e+02	-2.862804395e-04	3.400066528e+02	2.636420168e-02
3.400148926e+02	1.466427650e-02	3.401155090e+02	1.066997275e-02
3.401232910e+02	-3.246644337e-04	3.402243347e+02	6.291913800e-03
